"CTY_NM","CTY_CD","total_pop","area","density_pop"
"양천구","1147",444548,17.8030822246187,24970.2829201825
"동대문구","1123",337330,14.4974585017762,23268.2162848524
"동작구","1159",385898,17.6207272602882,21900.231148217
"중랑구","1126",388509,18.1999068837643,21346.7575675665
"구로구","1153",394850,19.9742384658495,19767.9626522476
"송파구","1171",662961,33.7068383320395,19668.4421561376
"광진구","1121",339893,17.4730065347135,19452.4622493981
"금천구","1154",231565,12.5819315979018,18404.5667549661
"강동구","1174",461630,25.3346602076833,18221.2824729341
"서대문구","1141",305623,17.3700263765383,17594.8495053989
"성북구","1129",433559,25.1142750807252,17263.4487201564
"성동구","1120",283821,16.5646627567618,17134.124863734
"영등포구","1156",376437,22.1504604498605,16994.5451405896
"관악구","1162",486946,29.6432318272363,16426.8863408001
"은평구","1138",473674,31.2489893336901,15158.0582316409
"도봉구","1132",314791,20.7876507508136,15143.1734048966
"마포구","1144",367584,24.5922430709106,14947.1521951083
"노원구","1135",508066,35.459849022255,14327.923384026
"강남구","1168",531777,38.7449142363585,13725.0787743641
"강서구","1150",573045,42.1149522081889,13606.6876478273
"강북구","1130",296653,23.7550339611876,12488.005720585
"중구","1114",122088,10.0939880148295,12095.1203647791
"용산구","1117",222263,21.1598212986776,10504.0112041915
"서초구","1165",407672,47.4911187167955,8584.17344158761
"종로구","1111",143624,23.1684534358117,6199.1190045512
